***********************************************************
*    Row   * Instance *   EventId * cpS1sTotB * cpS2sTotB *
*    96121 *        0 *     96121 * 10.360567 * 867.33193 *
*    96139 *        0 *     96139 * 7.0953415 * 839.38640 *
*    96170 *        0 *     96170 * 5.7458218 * 1273.7868 *
*    96204 *        0 *     96204 * 4.9288310 * 732.77471 *
*    96599 *        0 *     96599 * 9.7394598 * 1486.8119 *
*    96943 *        0 *     96943 * 20.891174 * 2130.2104 *
*    97348 *        0 *     97348 * 13.313879 * 1150.4173 *
*    97640 *        0 *     97640 * 32.373114 * 2979.9375 *
*    98452 *        0 *     98452 * 10.284114 * 2413.8127 *
*    98958 *        0 *     98958 * 18.074656 * 2229.7594 *
*    99189 *        0 *     99189 * 13.073771 * 1603.0143 *
*    99200 *        0 *     99200 * 9.3003029 * 1358.5054 *
*    99469 *        0 *     99469 * 12.548545 * 1520.4117 *
*    99643 *        0 *     99643 * 13.620098 * 2714.3818 *
*    99943 *        0 *     99943 * 15.835947 * 1824.7787 *
*   100269 *        0 *    100269 * 33.455731 * 2529.2862 *
*   100663 *        0 *    100663 * 18.304240 * 1462.9695 *
*   100751 *        0 *    100751 * 16.811205 * 1620.8419 *
*   100852 *        0 *    100852 * 25.630100 * 2342.8442 *
*   101567 *        0 *    101567 * 6.9901723 * 1716.4426 *
*   101618 *        0 *    101618 * 16.056159 * 1077.7923 *
*   101998 *        0 *    101998 * 12.560419 * 1381.2111 *
*   102224 *        0 *    102224 * 9.1055340 * 1645.9380 *
*   102268 *        0 *    102268 * 27.129920 * 2032.7911 *
*   102513 *        0 *    102513 * 10.566102 * 2227.8425 *
*   102875 *        0 *    102875 * 8.0428923 * 405.35158 *
*   103085 *        0 *    103085 * 9.5418093 * 707.12917 *
*   103105 *        0 *    103105 * 6.6302859 * 579.40565 *
*   103972 *        0 *    103972 * 11.322796 * 1512.1135 *
*   104200 *        0 *    104200 * 31.158323 * 2006.1775 *
*   104415 *        0 *    104415 * 23.232824 * 1556.4739 *
*   104582 *        0 *    104582 * 14.389413 * 2613.8011 *
*   104831 *        0 *    104831 * 12.517547 * 1059.4361 *
*   104924 *        0 *    104924 * 23.675081 * 2086.5721 *
*   105518 *        0 *    105518 * 32.082696 * 2811.3055 *
*   105896 *        0 *    105896 * 13.759491 * 1355.3110 *
*   106277 *        0 *    106277 * 21.406511 * 1417.5031 *
*   106328 *        0 *    106328 * 34.668112 * 2047.3750 *
*   106603 *        0 *    106603 * 21.669152 * 1683.1308 *
*   106765 *        0 *    106765 * 4.6045215 * 1282.0125 *
*   106875 *        0 *    106875 * 21.934342 * 1793.6796 *
*   106974 *        0 *    106974 * 12.632283 * 1241.9463 *
*   107475 *        0 *    107475 * 26.708044 * 2071.5835 *
*   107526 *        0 *    107526 * 8.2246267 * 1750.0562 *
*   107528 *        0 *    107528 * 9.8738995 * 914.15421 *
*   107556 *        0 *    107556 * 12.194722 * 1300.8177 *
